2001-12-01,2002-01-13
2001-12-02,2002-01-14
2001-12-03,2002-01-15
2001-12-04,2002-01-16
2001-12-05,2002-01-17
2001-12-06,2002-01-18
2001-12-07,2002-01-19
2001-12-08,2002-01-20
2001-12-09,2002-01-21
2001-12-10,2002-01-22
2001-12-11,2002-01-23
2001-12-12,2002-01-24
2001-12-13,2002-01-25
2001-12-14,2002-01-26
2001-12-15,2002-01-27
2001-12-16,2002-01-28
2001-12-17,2002-01-29
2001-12-18,2002-01-30
2001-12-19,2002-01-31
2001-12-20,2002-02-01
2001-12-21,2002-02-02
2001-12-22,2002-02-03
2001-12-23,2002-02-04
2001-12-24,2002-02-05
2001-12-25,2002-02-06
2001-12-26,2002-02-07
2001-12-27,2002-02-08
2001-12-28,2002-02-09
2001-12-29,2002-02-10
2001-12-30,2002-02-11
